City ID,City,Country,Date_Unix_format,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Codrington,AU,1547510400,1/15/2019 0:00,-28.95,153.24,87.8,51,0,5.82
68,Coolum Beach,AU,1547513152,1/15/2019 0:45,-26.53,153.09,82.3,69,0,6.24
69,Dubbo,AU,1547510400,1/15/2019 0:00,-32.25,148.6,98.6,16,0,14.99
70,Flinders,AU,1547510400,1/15/2019 0:00,-34.58,150.85,86,58,0,5.82
71,Hobart,AU,1547510400,1/15/2019 0:00,-42.88,147.33,77,61,0,11.41
72,Jamestown,AU,1547513061,1/15/2019 0:44,-33.21,138.6,91.84,46,32,4.41
73,Karratha,AU,1547513069,1/15/2019 0:44,-20.74,116.85,84.28,69,12,5.35
74,Kununurra,AU,1547510400,1/15/2019 0:00,-15.77,128.74,84.2,74,8,4.7
75,Mareeba,AU,1547510400,1/15/2019 0:00,-16.99,145.42,84.2,79,40,12.75
76,Margate,AU,1547510400,1/15/2019 0:00,-43.03,147.26,77,61,0,11.41
77,Maryborough,AU,1547513049,1/15/2019 0:44,-25.54,152.7,86.44,45,0,4.29
78,Mount Gambier,AU,1547510400,1/15/2019 0:00,-37.83,140.78,82.4,30,0,6.93
79,New Norfolk,AU,1547510400,1/15/2019 0:00,-42.78,147.06,77,61,0,11.41
80,Port Augusta,AU,1547510400,1/15/2019 0:00,-32.49,137.76,89.6,33,0,6.93
81,Port Lincoln,AU,1547513079,1/15/2019 0:44,-34.72,135.86,77.93,69,36,3.85
82,Yulara,AU,1547510400,1/15/2019 0:00,-25.24,130.99,100.4,14,0,6.93
83,Lerik,AZ,1547509860,1/14/2019 23:51,38.78,48.42,33.8,69,20,11.41
84,Bathsheba,BB,1547510400,1/15/2019 0:00,13.22,-59.52,77,73,40,14.99
85,Oistins,BB,1547510400,1/15/2019 0:00,13.07,-59.53,77,73,40,14.99
86,Parbatipur,BD,1547513145,1/15/2019 0:45,25.66,88.92,49.09,88,0,6.53
87,Satkhira,BD,1547510400,1/15/2019 0:00,22.72,89.08,57.2,87,0,5.82
